,source,review_id,user_name,review_title,review_description,rating,thumbs_up,review_date,developer_response,developer_response_date,appVersion,laguage_code,country_code,App
0,Google Play,932005c4-49a8-410d-adac-a1bbe349d9ed,Borbala Utasi,,"Az alkalmazás sebességben lehetne fejlődés, különben jó szolgáltatás.",4,0,2024-10-10 22:19:20,,,4.0.186,hu,hu,GreenGo
1,Google Play,e8f36653-38fc-4034-b11c-4841b49d47d2,Balázs Körmendi,,Hiányzik a kilométer számláló az aktuális berleshez/ a napi berleshez,5,0,2024-10-10 11:21:31,,,4.0.186,hu,hu,GreenGo
2,Google Play,82cf9da1-5bb8-4f1d-a845-f943072fc690,Kristóf Nagy,,A szolgáltatás minősége.,2,0,2024-09-12 09:04:18,"Kedves Kristóf!

Meg tudod írni nekünk kérlek emailben, hogy pontosan mi a probléma a szolgáltatás minőségével? Köszönjük előre is!",2024-09-25 12:10:10,4.0.170,hu,hu,GreenGo
3,Google Play,fe288fa2-7b65-401b-b91a-a99d370bd884,Csaba Tiborcz,,15 ször probálom a bankkártya feltöltését a bank elfogadja de mégis hibát jelez ez a szerenétlen alkalmazás.,1,0,2024-08-29 11:31:10,,,4.0.170,hu,hu,GreenGo
4,Google Play,8c900424-3a41-4ed6-92a8-cc6d5bde877e,Jani Donk O',,Miért kell fizetni a regisztrációért? Így nem látom alapból a zónákat. Kuka,1,0,2024-08-23 14:31:41,,,,hu,hu,GreenGo
5,Google Play,36e3e7cd-682d-4b19-b826-a8983c3b8410,Ferenc Boda,,"Nem jelzi ikonnal a reptérnél levő szabad kocsit csak írja, hogy van. Az operátor kedves volt es segítőkész de a problémát ugyan érzékelte de megoldani nem tudta. Magyarán az alkalmazás a sz.r. Valamit bsszatok vele.",1,0,2024-07-29 15:36:50,"Kedves Ferenc! A reptérnél elérhető autók, ha töltőn vannak, akkor a villám ikonra kattintva lehet elérni és kibérelni őket. A nem töltőn levő autókat pedig a szokásos módon látod a térképen. Sajnáljuk, hogy emiatt nehézséged volt!",2024-08-13 15:03:13,,hu,hu,GreenGo
6,Google Play,d00d8701-ec12-428e-a2cf-de5fec241ddb,Attila Komlósi,,"A legjobb ár-érték arányú carsharing szolgáltató, akár saját autó kiváltására is alkalmas csomaggal. Több, mint 2 éve élek saját autó nélkül, és minden egyedi közlekedést igénylő helyzetemet meg tudtam a Greengo-val oldani, ráadásul a sajátnál sokkal költséghatékonyabb módon Ügyfélbarát, környezettudatos csapat.",5,1,2024-07-10 13:31:38,"Kedves Attila! Köszönjük a visszajelzésedet. Örülünk, hogy elégedett vagy autóink állapotával, hiszen különösen ügyelünk arra, hogy minden ügyfelünk tiszta GreenGokban utazhasson.",2021-04-30 16:13:30,4.0.157,hu,hu,GreenGo
7,Google Play,6db4a844-62a8-4ab5-bbfa-aed292a39a31,Péter Szemes,,"Meg vagyok elégedve vele nagyon :) néha egy két probléma van, de az ügyfélszolgalat egyből segít és haritja a problémát, illetve kompenzálja azt :) 🙏",5,1,2024-07-03 17:51:13,"Még sok-sok jó greengós élményt kívánunk neked, magunknak meg sok-sok hasonló jó értékelést!",2024-07-10 15:34:16,4.0.170,hu,hu,GreenGo
8,Google Play,5e8efb3b-dd58-4063-a1ac-6fe51d5c9e54,Zsolt Gábor,,"Ha szombaton szeretnél regisztrálni, akkor ne tedd. A jogosítvány ellenőrzése, annak ellenére, hogy 0-24h ügyfélszolgálat van órákig tart. Csak akkor próbálkozz, ha ráérsz és nem számít mikor akarod igénybe venni.",1,0,2024-06-15 10:58:41,"Kedves Zsolt Gábor! Nagyon sajnáljuk, hogy elhúzódott az okmányod ellenőrzése, ez ritkán fordul elő. Technikai helpdeskünk éred el 0-24 telefonon, akik a bérlés során felmerülő technikai nehézségek kapcsán tudnak segíteni. Ügyfélszolgálatunk emailben éred el és igyekszünk gyorsan segíteni!",2024-06-20 14:23:27,4.0.157,hu,hu,GreenGo
9,Google Play,10444e12-5c4e-4cd0-b78d-6052281a9893,Máté Andrási,,"Jó kezelő felület, mindent megtalálok rajta, nem úgy mint Wigon meg Mol Limon. Alkalmazás gyors, pont úgy ahogy az ügyfélszolgálatosok. Csak ajánlani tudom a szolgáltatásukat💯",5,1,2024-06-13 16:51:24,"Örülünk, hogy ilyen elégedett vagy, reméljük még sokáig így is marad ez, mi mindent megteszünk! 🙂",2024-06-20 14:19:19,4.0.157,hu,hu,GreenGo
10,Google Play,72fd9503-9846-4e4f-a67c-2d8924a1536d,Máté DÁVID,,"Éveken keresztül használtam a szolgáltatást, könnyű, kényelmes, esetleges probléma esetén az ügyfélszolgálat gyors és segítőkész. Az autók rendesen karban vannak tartva.",5,1,2024-06-13 09:00:43,"Ennek minden szava megmelengette a szívünket, nagyon köszi!!",2024-06-20 14:18:59,4.0.157,hu,hu,GreenGo
11,Google Play,e508e85b-e24d-471f-b092-cd03ca8fcd67,Veronika Kovács,,"A rendszer maga jól működik, viszont folyamatosan félretájékoztatnak hogy plusz pár ezer forintokat nyerjenek tőled. 1.) Kedvezményes parkolási területen parkoltunk normafán az autóval, de pont rossz helyre érzékelte a rendszer az autót 5 méterrel, ezért külön be kellett telefonálnunk, hogy visszakapjuk a pénzünket 2.) A rendszer alapból beallított egy előfizetést számomra, amiről nyilván semmit nem szóltak az app-ban csak, a regisztrációkor elküldött 5 e-mail között volt egy amiben leírták.",2,0,2024-05-29 10:47:55,"Kedves Veronika! Fel tudod venni a kapcsolatot velünk emailben kérlek, hogy tisztázni tudjuk? Nem szokásunk félretájékoztatni és előzetes jelzés nélkül levonni sem díjakat. Köszönjük előre is a segítséged!",2024-06-07 16:32:17,,hu,hu,GreenGo
12,Google Play,3e1f8c5d-7b2c-4160-acac-e122ef85fe6c,D A,,"2 kártyával próbálkoztam 3x regisztrálni, egyszer sem sikerült. Banki appban jóváhagyom, utána vissza a GreenGo appba, ott fehér képernyő, aztán üzenet: Nem sikerült. A bank levonja, aztán egyből sztornózza...",1,4,2024-05-23 12:34:41,"Szia! Nem tudunk ilyen problémáról, így kérlek jelezz az ugyfelszolgalat@greengo.com címen, hogy utána tudjunk járni!",2024-05-23 16:17:41,4.0.157,hu,hu,GreenGo
13,Google Play,d8363919-bf29-4dfe-b6ec-6ad19ff9218d,Zsolt Bogai,,"Vicc ez az app. Jó lenne, ha a végén a (kötelező, ha van sérülés, ha nincs) fotózásnál nem fagyna MINDIG le (nem a telefonnal van a gond). Ez így a szolgáltatás értékéből vesz el. Sokat. MÁS: a járművekbena béna telefontartókba belefér bármelyik mai telefon??",2,1,2024-04-28 09:41:09,"Kedves Zsolt! Sajnáljuk, hogy rossz tapasztalatod volt és kérünk vedd fel velünk emailben a kapcsolatot, hogy megoldást tudjunk javasolni a fotós problémára. A telefontartókon 2 gomb van (az egyik nem domborodik annyira ki) és meglepően nagy telefonok is be kell férjenek.",2024-05-14 13:45:41,4.0.157,hu,hu,GreenGo
14,Google Play,456aed60-240c-425e-b478-ff14d2732b56,Bence Kecső,,"Az alkalmazás jó, viszont ha nem figyel az ember érhetik meglepetések a költségeknél. Regisztrációs díj 2490Ft, utána alapértelmezettként egy 1690Ft-os előfizetési csomagot aktivál ami szépen csendben ketyeg és 30nap az új díjcsomag aktiválása. Ha esetleg nem figyelsz pár ezrest simán kihúznak a zsebedből egy benemtervezett bérautó használattal.",3,2,2024-04-22 12:03:28,"Kedves Bence! Köszönjük a visszajelzésed! A regisztrációs díjról és a kezdő díjcsomagról egyértelműen kommunikálunk a regisztráció kezdetén és a jóváhagyás után kapott első emailben is. A második hónap előtt pedig emlékeztető levelet küldünk a díjcsomag fordulónapjáról. Ha lenne bármi javaslatod még, akkor szívesen fogadjuk emailben! Szép napot!",2024-04-23 15:10:31,4.0.157,hu,hu,GreenGo
15,Google Play,c7334c46-5f74-4e48-adc6-a10d988ccbdf,Tom Ker,,"Egyszerű és nagyszerű, ja, és olcsó!",5,0,2024-04-21 15:03:44,"Örülünk, hogy ilyen elégedett vagy, reméljük még sokáig így is marad ez, mi mindent megteszünk! 🙂",2024-04-23 15:07:02,4.0.157,hu,hu,GreenGo
16,Google Play,c94df44e-706f-423d-9a46-bae2773ed0cd,Krisztián Kálmán,,A legjobb carsharing app,5,0,2024-04-19 20:02:52,"Szuper, hogy velünk vagy, örülünk neked, és a visszajelzésednek is!",2024-04-23 15:06:36,4.0.115,hu,hu,GreenGo
17,Google Play,d6a4f11c-061e-45f7-b7c4-c9d658e83fac,Zsolt,,"Buli ezt hasznalni, mimdíg kiderül valamiről, hogy sz@r. Minap sikerült fognom és bérelnem egy lemerült autót. Marha jo lenne, ha egy bizonyos töntöttség alatt mondjuk poros lenne az ikon. Ha a nyomorult térkép forogna mint egy rendes, hasznalható térkép alkamazásban, nem kéne azzal vakerálni, hogy merre is vagyok, merre is haladok? Kösz! A hanta jobban megy mint a fejlesztés és a szövegértelmazés. Sok sikert!",1,4,2024-04-03 08:29:10,"Kedves Zsolt! Az autóink egy bizonyos töltöttség alatt nem elérhetőek az appban, nem lehet kibérelni őket. Az autók töltöttségét pedig a bérlés előtt lehet ellenőrizni az applikációban. Szívesen vennénk, ha emailben megírná nekünk az esetet, hogy ki tudjuk pontosan vizsgálni.",2023-12-14 14:17:35,4.0.115,hu,hu,GreenGo
18,Google Play,410a3d79-1e25-4ff1-8180-220b34de208d,János Béla,,2490 forintot nem tudok befizetni mert az Applikácio nem engedi folyamat azt írja hogy nincs egyenleg a kártyán erre ki adják behajtásra kértem hogy akkor küldjenek számla számot elküldöm erre az volt a válasz hogy már küldtek én keressem vissza nem tud újat küldeni ha azt nem talàlom be hajtják nyilván akkor már sokszorosàt! Legyenek boldogok azzal én inkább akkor maradok olyan Car Sharing Szolgáltatásnál ami korrekt....,1,0,2024-03-01 11:33:26,"Kedves Attila! Ahogy látjuk nálunk rendben működik minden és regsztrációs díj miatt nem szoktunk végrehajtásra küldeni ügyet. Kérlek vedd fel velünk emailben a kapcsolatot, hogy tudjunk segíteni!",2024-02-28 10:25:05,,hu,hu,GreenGo
19,Google Play,c8caad09-0272-4c84-8820-0484d43be31f,Eszter Tóth,,"Nagyon-nagyon szeretem, könnyű vezetni, viszont jellemzően a nappali órákban a fotók készítésénél visszaugrik a kezdőképernyőre. Záráskor kifejezetten rossz..mert ugye akkor mindig telefonálnom kell..de az ügyfélszolgálat mindig segít és jóváírják a perceket.",3,2,2024-01-29 08:35:40,"Szia! Sajnáljuk, hogy a záráskor sokszor akad problémád. Jelezd ezt emailben is a kollégáknak és tudnak javaslatot küldeni, mert igen ritka alapvetően, hogy probléma lenne az autók és a bérlés leázárásával.",2024-02-05 15:31:21,4.0.115,hu,hu,GreenGo
20,Google Play,dc089d50-b7b1-49cb-8133-7025c4b36fe7,Dominika Papp,,"Rendszeres berlő vagyok és meg vagyok elégedve a szolgáltatással. Ügyfélszolgaton a kollégák amikor segítségre volt szükségem, mindig készségesen segítettek.",5,2,2024-01-25 13:34:52,"Nagyon köszi, pont az ilyenek miatt tudunk újra és újra lelkesedni!",2024-02-05 15:30:22,4.0.115,hu,hu,GreenGo
21,Google Play,96dc917d-757c-4563-aab9-598c708953cd,Eszter Molnár,,"Átlátható, egyszerű könnyen kezelhető, és a kocsihasználat minden részletére információt adó app.",5,1,2024-01-15 09:08:26,"Köszönjük, hogy megosztottad a pozitív tapasztalataidat!",2024-01-17 16:10:05,4.0.115,hu,hu,GreenGo
22,Google Play,eeb0ad5d-3d18-4fbc-bf58-22b9bad263fa,Ruben Madarász,,"Szerencsére rövid ideig használtma androidon, de ez nem az app hibája, hanem a készüléké. Részemről minden rendben volt az appal. Elég egyértelmű a használata.",5,0,2024-01-11 16:15:25,"Örülünk, hogy ilyen elégedett vagy, reméljük még sokáig így is marad ez, mi mindent megteszünk! 🙂",2024-01-17 16:09:46,3.1.1615,hu,hu,GreenGo
23,Google Play,36b6bf56-9d78-4e07-94c3-00f0076981b2,Csilla Herbai,,"Amikor szükségem lenne rá, nincs elérhető autó a közelemben.",3,2,2023-12-27 09:24:55,"Szia! Folyamatosan dolgozunk az egyenletes elosztáson, de igyekezetünk ellenére is előfordulhatnak ilyen hibák. Dolgozunk rajta a jövőben, hogy még jobban menjen az eloszlatás! Szép napot!
",2023-12-28 13:33:13,4.0.115,hu,hu,GreenGo
24,Google Play,5c70aee5-489d-429b-a82e-d6ceaa7768b5,Balázs Radványi,,"A szolgáltatás nagyon jó, az app viszont sajnos egy nagy nulla. Így se nem gyorsabb, se nem kényelmesebb az autóbérlés más alternatívákhoz képest. A mai bérlésemnél például két probléma is volt: egy a nyitásnál, egy a zárásnál. Mindkettőnél telefonalnom kellett, hogy az ügyfélszolgálat távolról segítsen. Egyszerűbb is lenne kiiktatni az appot, és csak telefonon bonyolitani az egészet. Vissza a régi appot!",1,8,2023-12-14 21:16:42,"Kedves Balázs! Ha nem jelentkezel ki az appból, akkor nem szükséges újra bejelentkezned. Amikor legközelebb előfordul, küldenél nekünk egy screenvideot a jelenségről? Szeretnénk kivizsgálni. Az appon folyamatosan dolgozunk, hogy minél könnyebben és egyszerűbben tudjátok használni. Reméljük a változásokkal te is elégedett leszel!",2021-11-22 15:53:32,4.0.115,hu,hu,GreenGo
25,Google Play,5b9baa78-ccf0-4d54-9b1a-3f289a960669,Csilla Sz-G.,,"Nekem bevált, elégedett vagyok vele! Az ügyfélszolgálat is segített 2-3 alkalommal, mikor arra volt szükség. Ajánlom. :)",5,3,2023-12-07 10:18:19,"Köszi nagyon, az ilyen visszajelzések adnak erőt, ha épp elfáradunk!",2023-12-14 14:15:33,4.0.115,hu,hu,GreenGo
26,Google Play,2b03bce7-5245-49fa-9950-1ad86613a66a,D. Dusán Kapás,,Rendben van az app csak nagyon lassú a zárás,4,2,2023-11-16 14:57:02,Köszönjük a visszajelzésed!,2023-11-20 10:49:49,4.0.115,hu,hu,GreenGo
27,Google Play,51cd1e6a-c42e-42aa-b05c-1c6e49eec7a8,István Horváth,,"Nem lehet a belépéshez szükséges jelszót elmenteni androidon. Ha igen, akkor nem tudom hol a hiba.",2,5,2023-11-03 10:56:58,"Kedves István!
Dolgozunk a navi beállításán, reméljük be tudjuk tenni az app beállításokba, hogy melyiket szeretnéd indítani az általunk támogatott 3 közül - waze, google maps, apple maps. A push notis kérésed nem olyan egyszerű sajnos, de megnézzük hogyan tudnánk megoldani.",2019-06-19 13:12:08,4.0.113,hu,hu,GreenGo
28,Google Play,7505bcc3-9539-4e95-a212-c2da8f4d5159,Márton Serly,,"Easy to register, easy to use, - you find a car, hop in and a tutorial helps you step by step.",5,0,2023-11-03 09:22:14,"HI! Oh, that's why we like to work, thank you!",2023-11-06 15:18:29,4.0.113,hu,hu,GreenGo
29,Google Play,3fc86678-d086-441c-b8d0-a4110c733aeb,Barna Bartos,,Összességében elégedett vagyok a szolgáltatással.,5,0,2023-10-31 10:26:06,"Szia! A pozitív visszajelzésre sokan kevésbé veszik rá magukat, mint a negatívra, nagyon köszi, hogy te megtetted!",2023-11-06 15:19:08,4.0.113,hu,hu,GreenGo
30,Google Play,e4d081bc-6dac-4a6b-ae59-c3f62dc67a35,Ádám Csuvár,,tokeletesen mukodik,5,0,2023-10-28 20:30:03,"Szia! A támogatásod sokat jelent nekünk, köszönjük az értékelést!",2023-11-06 15:19:36,4.0.113,hu,hu,GreenGo
31,Google Play,3dfe4bf0-9ebf-4ab8-91ea-fd1fe985bc11,Erika Lukács,,"szuper app, szuper kicsikocsik :)",5,0,2023-10-16 14:12:10,Köszönjük az értékelést! :),2023-10-26 13:09:40,4.0.113,hu,hu,GreenGo
